pod,container,Memory,CPU,Traffic Rx,Traffic Tx
dummy-0001,POD,1.2421875,0.0,0.0005810732709771408,0.0017204174052033389
dummy-0001,istio-proxy,141.796875,0.5626215641659051,,
dummy-0103,POD,1.421875,0.0,0.0005632482098111127,0.002142904001343284
dummy-0103,istio-proxy,144.12890625,0.5978979002210475,,
dummy-0205,POD,1.37890625,0.0,0.0005672876079892507,0.0023787184007445774
dummy-0205,istio-proxy,141.08984375,0.49599542341558966,,
dummy-0307,POD,1.4453125,0.0,0.0006010292565720929,0.0022372727566527676
dummy-0307,istio-proxy,140.96875,0.5396131559924691,,
dummy-0409,POD,1.359375,0.0,0.0005688446265882171,0.0023267033687943777
dummy-0409,istio-proxy,141.63541666666666,0.6090960863020545,,
dummy-0511,POD,1.390625,0.0,0.0005685058769096392,0.0019556944639111413
dummy-0511,istio-proxy,141.1171875,0.5078629735840764,,
dummy-0613,POD,1.375,0.0,0.000559024036816681,0.002126577501717191
dummy-0613,istio-proxy,145.0947265625,0.6053194907683244,,
dummy-0715,POD,1.3203125,0.0,0.0005839838584979576,0.0019529088750318841
dummy-0715,istio-proxy,137.888671875,0.4988208202050503,,
