pod,container,Memory,CPU,Traffic Rx,Traffic Tx
dummy-0001,POD,1.2421875,0.0,0.0005894734541537638,0.002153982450097258
dummy-0001,istio-proxy,103.439453125,0.641755330253238,,
dummy-0103,POD,1.421875,0.0,0.0005428291029212245,0.0018541651369461281
dummy-0103,istio-proxy,103.90625,0.587251316691814,,
dummy-0205,POD,1.37890625,0.0,0.00048706248317623835,0.0003438313393580962
dummy-0205,istio-proxy,102.14583333333333,0.4784206898758519,,
dummy-0307,POD,1.4453125,0.0,0.0005893224341793448,0.0016986830666657527
dummy-0307,istio-proxy,104.25390625,0.505206898739908,,
dummy-0409,POD,1.359375,0.0,0.0005497705970157501,0.0019400122508246083
dummy-0409,istio-proxy,103.05208333333333,0.46162642006095794,,
