pod,container,Memory,CPU,Traffic Rx,Traffic Tx
dummy-0001,POD,1.2421875,0.0,0.0005759495155763802,0.0019023331072777275
dummy-0001,istio-proxy,163.29296875,0.5997964682940979,,
dummy-0103,POD,1.421875,0.0,0.0005227416308958139,0.0023070378090018656
dummy-0103,istio-proxy,163.58984375,0.6692293207153557,,
dummy-0205,POD,1.37890625,0.0,0.0005977469809755795,0.00249638276941636
dummy-0205,istio-proxy,162.85546875,0.5178274410774054,,
dummy-0307,POD,1.4453125,0.0,0.0005895957613214917,0.0020416800233441874
dummy-0307,istio-proxy,162.5029296875,0.5421559618733288,,
dummy-0409,POD,1.359375,0.0,0.0005548021847446428,0.0025749769467348113
dummy-0409,istio-proxy,162.427734375,0.6369578564940899,,
dummy-0511,POD,1.390625,0.0,0.0005652898558444081,0.00179850368071208
dummy-0511,istio-proxy,162.734375,0.5398710103456155,,
dummy-0613,POD,1.375,0.0,0.0005351492919158299,0.0030861684339458092
dummy-0613,istio-proxy,162.07682291666666,0.6723404752586011,,
dummy-0715,POD,1.3203125,0.0,0.0005893773965902261,0.0017239006886703887
dummy-0715,istio-proxy,160.46744791666666,0.5123762706997163,,
dummy-0817,POD,1.52734375,0.0,0.0006597305245724706,0.0019670585985528603
dummy-0817,istio-proxy,162.31901041666666,0.6803996998427764,,
dummy-0919,POD,1.41796875,0.0,0.000608559576541512,0.00197152806602225
dummy-0919,istio-proxy,160.4091796875,0.585989992721976,,
