pod,prometheus-7c9ddc484d,istiod-7599c64cb4,prometheus-7c9ddc484d
container,prometheus,discovery,istio-proxy
0,5.511937374403028,2.0518423551852143,0.6016369385181317
100,5.350783204415778,2.211051088517551,0.6152234647588118
200,5.189629034428528,2.3702598218498876,0.628809990999492
300,5.028474864441278,2.5294685551822242,0.642396517240172
400,4.867320694454028,2.688677288514561,0.6559830434808521
500,4.706166524466777,2.8478860218468975,0.6695695697215323
600,4.545012354479527,3.0070947551792346,0.6831560959622123
700,4.3838581844922775,3.1663034885115713,0.6967426222028924
800,4.222704014505027,3.325512221843908,0.7103291484435725
900,4.061549844517777,3.4847209551762446,0.7239156746842527
1000,3.9003956745305266,3.6439296885085812,0.7375022009249328
1100,3.7392415045432763,3.8031384218409183,0.7510887271656128
1200,3.5780873345560265,3.962347155173255,0.7646752534062929
1300,3.416933164568776,4.121555888505592,0.7782617796469731
1400,3.255778994581526,4.280764621837928,0.7918483058876531
1500,3.0946248245942756,4.439973355170265,0.8054348321283332
1600,2.9334706546070253,4.599182088502602,0.8190213583690134
1700,2.7723164846197754,4.758390821834938,0.8326078846096935
1800,2.611162314632525,4.917599555167275,0.8461944108503736
1900,2.450008144645275,5.0768082884996115,0.8597809370910536
2000,2.288853974658025,5.236017021831948,0.8733674633317338
