pod,container,Memory,CPU,Traffic Rx,Traffic Tx
istio-citadel,POD,1.50390625,0.0,0.0007401492002501642,0.00046430827008700227
istio-citadel,citadel,21.2421875,0.3767574488992449,,
istio-galley,POD,1.24609375,0.0,4.1181300243995564e-05,0.0003448534851827613
istio-galley,galley,29.555989583333332,2.687773824536094,,
istio-galley,istio-proxy,26.54296875,0.16836838666677068,,
istio-ingressgateway,POD,1.46875,0.0,0.05282245577837148,0.015941797966895765
istio-ingressgateway,istio-proxy,58.26171875,1.2165814714696608,,
istio-pilot,POD,1.234375,0.0,0.37577738148426293,3.3644244917472514
istio-pilot,discovery,822.53125,30.842201106048478,,
istio-pilot,istio-proxy,64.8984375,2.786057625529331,,
istio-policy,POD,1.3984375,0.0,0.02110083626501681,0.009692066835713142
istio-policy,istio-proxy,30.00390625,0.3925675350703417,,
istio-policy,mixer,45.2890625,0.7036483538893245,,
istio-sidecar,POD,1.40625,0.0,0.0009027578986902651,0.0019370044478419389
istio-sidecar,sidecar-injector-webhook,21.072916666666668,2.9842907680088993,,
istio-telemetry,POD,1.359375,0.0,0.013515272196077054,0.01069371060345253
istio-telemetry,istio-proxy,27.60546875,0.38612201401172014,,
istio-telemetry,mixer,43.23828125,0.4281916406850894,,
prometheus-66c5887c86,POD,1.3203125,0.0,0.14628904133485784,0.0054926739971279505
prometheus-66c5887c86,prometheus,1708.1953125,5.074790432299949,,
