pod,container,Memory,CPU,Traffic Rx,Traffic Tx
dummy-1583689117,POD,1.375,0.0,0.012454515203652362,0.009243004233691465
dummy-1583689117,istio-proxy,23.419921875,4.76674397159373,,
dummy-1583689118,POD,1.48046875,0.0,0.0,0.0
dummy-1583689118,istio-proxy,26.138671875,4.728846923317072,,
dummy-1583689119,POD,1.30859375,0.0,0.0,0.0
dummy-1583689119,istio-proxy,25.849609375,3.066117959114699,,
dummy-1583689120,POD,1.3828125,0.0,0.0,0.0
dummy-1583689120,istio-proxy,19.767578125,2.7741073399999996,,
dummy-1583689121,POD,1.3359375,0.0,0.0,0.0
dummy-1583689121,istio-proxy,19.212890625,3.000821764166666,,
dummy-1583689122,POD,1.40234375,0.0,0.00015977867692095976,0.001759122355704908
dummy-1583689122,istio-proxy,25.771484375,3.4850630573404136,,
dummy-1583689123,POD,1.46875,0.0,0.0,0.0
dummy-1583689123,istio-proxy,32.99609375,0.13547411689157896,,
dummy-1583689124,POD,1.44140625,0.0,0.0,0.0
dummy-1583689124,istio-proxy,26.6796875,1.9380333775,,
dummy-1583689125,POD,1.44140625,0.0,0.00017303536310220316,0.0016362993003767165
dummy-1583689125,istio-proxy,35.35546875,2.4817777090726634,,
dummy-1583689126,POD,1.470703125,0.0,0.0,0.0
dummy-1583689126,istio-proxy,26.83203125,2.078058323022279,,
dummy-1583689127,POD,1.3203125,0.0,0.0,0.0
dummy-1583689127,istio-proxy,25.37109375,2.608946345614504,,
dummy-1583689128,POD,1.2890625,0.0,0.0,0.0
dummy-1583689128,istio-proxy,19.85546875,1.814504295349627,,
